slug,service,variant,source_png,output_path,width,height,source_kb,webp_kb,status,note
facetas-de-resina,Facetas de Resina e Lentes em Resina,desktop,01_facetas_resina_lentes_resina_desktop_16x9.png,public/images/treatments/facetas-de-resina/hero-desktop.webp,1600,900,1291.8,51.5,production,
facetas-de-resina,Facetas de Resina e Lentes em Resina,mobile,01_facetas_resina_lentes_resina_mobile_9x16.png,public/images/treatments/facetas-de-resina/hero-mobile.webp,900,1600,910.1,49.1,production,
lentes-de-contato-dental,Lentes de Contato Dental e Facetas de Porcelana,desktop,02_lentes_contato_dental_facetas_porcelana_desktop_16x9.png,public/images/treatments/lentes-de-contato-dental/hero-desktop.webp,1600,900,1560.2,63.9,production,
lentes-de-contato-dental,Lentes de Contato Dental e Facetas de Porcelana,mobile,02_lentes_contato_dental_facetas_porcelana_mobile_9x16.png,public/images/treatments/lentes-de-contato-dental/hero-mobile.webp,900,1600,1059.1,61.9,production,
clareamento-dental,Clareamento Dental,desktop,"ChatGPT Image 10 de set. de 2026, 17_50_14 (3).png",public/images/treatments/clareamento-dental/hero-desktop.webp,1672,941,1556.1,66.4,production,updated_from_ReImagens
clareamento-dental,Clareamento Dental,mobile,"ChatGPT Image 10 de set. de 2026, 17_50_14 (4).png",public/images/treatments/clareamento-dental/hero-mobile.webp,941,1672,1494.8,64.4,production,updated_from_ReImagens
fechamento-de-diastemas,Fechamento de Diastemas,desktop,"ChatGPT Image 10 de set. de 2026, 17_50_14 (5).png",public/images/treatments/fechamento-de-diastemas/hero-desktop.webp,1672,941,1462.3,54.0,production,updated_from_ReImagens
fechamento-de-diastemas,Fechamento de Diastemas,mobile,"ChatGPT Image 10 de set. de 2026, 17_50_14 (6).png",public/images/treatments/fechamento-de-diastemas/hero-mobile.webp,941,1672,1427.7,58.3,production,updated_from_ReImagens
implantes-dentarios,Implantes Dentários,desktop,"ChatGPT Image 10 de set. de 2026, 17_50_04 (5).png",public/images/treatments/implantes-dentarios/hero-desktop.webp,1672,941,1526.8,71.0,production,updated_from_ReImagens
implantes-dentarios,Implantes Dentários,mobile,"ChatGPT Image 10 de set. de 2026, 17_50_04 (6).png",public/images/treatments/implantes-dentarios/hero-mobile.webp,941,1672,1446.1,64.9,production,updated_from_ReImagens
protese-protocolo,Prótese Protocolo,desktop,"ChatGPT Image 10 de set. de 2026, 17_50_05 (7).png",public/images/treatments/protese-protocolo/hero-desktop.webp,1672,941,1663.9,81.6,production,updated_from_ReImagens
protese-protocolo,Prótese Protocolo,mobile,"ChatGPT Image 10 de set. de 2026, 17_50_06 (8).png",public/images/treatments/protese-protocolo/hero-mobile.webp,941,1672,1436.1,66.6,production,updated_from_ReImagens
enxerto-osseo-dentario,Enxerto Ósseo para Implantes,desktop,"ChatGPT Image 10 de set. de 2026, 14_53_46 (5).png",public/images/treatments/enxerto-osseo-dentario/hero-desktop.webp,1672,941,1579.5,70.3,production,
enxerto-osseo-dentario,Enxerto Ósseo para Implantes,mobile,"ChatGPT Image 10 de set. de 2026, 14_53_47 (6).png",public/images/treatments/enxerto-osseo-dentario/hero-mobile.webp,941,1672,1557.7,75.4,production,
proteses-dentarias,Próteses Dentárias,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_56 (6).png",public/images/treatments/proteses-dentarias/hero-desktop.webp,1672,941,1475.7,58.6,production,
proteses-dentarias,Próteses Dentárias,mobile,"ChatGPT Image 10 de set. de 2026, 15_54_19 (1).png",public/images/treatments/proteses-dentarias/hero-mobile.webp,941,1672,1446.4,65.7,production,
inlays-onlays,Inlays e Onlays / Restaurações Indiretas,desktop,"ChatGPT Image 10 de set. de 2026, 17_50_07 (9).png",public/images/treatments/inlays-onlays/hero-desktop.webp,1672,941,1431.8,47.3,production,updated_from_ReImagens
inlays-onlays,Inlays e Onlays / Restaurações Indiretas,mobile,"ChatGPT Image 10 de set. de 2026, 17_50_07 (10).png",public/images/treatments/inlays-onlays/hero-mobile.webp,941,1672,1402.7,56.1,production,updated_from_ReImagens
reabilitacao-oral,Reabilitação Oral,desktop,"ChatGPT Image 10 de set. de 2026, 17_50_12 (1).png",public/images/treatments/reabilitacao-oral/hero-desktop.webp,1672,941,1656.0,97.9,production,updated_from_ReImagens
reabilitacao-oral,Reabilitação Oral,mobile,"ChatGPT Image 10 de set. de 2026, 17_50_13 (2).png",public/images/treatments/reabilitacao-oral/hero-mobile.webp,941,1672,1545.3,85.4,production,updated_from_ReImagens
ortodontia,Ortodontia / Aparelhos e Alinhadores,desktop,"ChatGPT Image 10 de set. de 2026, 14_53_51 (1).png",public/images/treatments/ortodontia/hero-desktop.webp,1672,941,1694.0,86.1,production,
ortodontia,Ortodontia / Aparelhos e Alinhadores,mobile,"ChatGPT Image 10 de set. de 2026, 14_53_52 (2).png",public/images/treatments/ortodontia/hero-mobile.webp,941,1672,1591.8,73.8,production,
invisalign,Invisalign / Alinhadores Transparentes,desktop,"ChatGPT Image 10 de set. de 2026, 14_53_53 (3).png",public/images/treatments/invisalign/hero-desktop.webp,1672,941,1661.6,60.4,production,
invisalign,Invisalign / Alinhadores Transparentes,mobile,"ChatGPT Image 10 de set. de 2026, 14_53_53 (4).png",public/images/treatments/invisalign/hero-mobile.webp,941,1672,1628.1,73.4,production,
